Pizza No.,Order Date,Order Time,Ord - Del time,Order Receipt (mins), Base prep (mins), Styling (mins), Cooking Time (mins),Boxing (mins),Delivery (mins),Oven Temp ºC,Order Mode,Size,Area,Order Taker,Dough Prep,Stylist,Oven,Boxer,Deliverer,Cust. complaint,Reason,,,,,,,
12,05/03/2018,13:55:39,36.3,0.97,3.25,0.48,6.54,0.48,24.6,249.0,Email,Small,A,Dineo,Tau,Tsepo,Chilli,Rohan,Mary,no,,,,,,,,
13,05/03/2018,13:56:32,41.5,0.54,3.40,0.58,6.92,0.58,29.5,278.0,App,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Kone,no,,,,,,,,
14,05/03/2018,13:59:52,44.0,0.44,3.56,0.25,7.51,0.25,32.0,288.4,Phone,Family,D,Dineo,Tau,Tsepo,Wasabi,Rohan,Jeff,no,,,,,,,,
15,05/03/2018,14:02:59,40.6,0.79,3.20,0.45,6.54,0.45,29.2,241.8,Phone,Small,C,Dineo,Tau,Tsepo,Chilli,Rohan,Mary,no,,,,,,,,
16,05/03/2018,14:46:44,44.7,0.78,3.19,0.60,7.33,0.60,31.9,287.7,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Kone,no,,,,,,,,
17,05/03/2018,15:25:36,52.4,0.67,3.25,0.45,7.16,0.45,40.4,283.6,App,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Jeff,no,,,,,,,,
18,05/03/2018,15:48:23,51.5,0.62,3.53,0.55,7.25,0.55,39.0,288.7,App,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Mary,no,,,,,,,,
19,05/03/2018,15:50:58,34.2,0.65,3.37,0.46,6.89,0.46,22.4,272.5,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Rohan,Kone,no,,,,,,,,
20,05/03/2018,15:57:15,37.4,0.64,3.19,0.35,6.82,0.35,26.1,280.3,Phone,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Jeff,no,,,,,,,,
21,05/03/2018,16:14:44,38.6,0.61,3.16,0.56,6.50,0.56,27.2,245.0,Phone,Medium,B,Dineo,Tau,Tsepo,Chilli,Rohan,Mary,no,,,,,,,,
22,05/03/2018,16:20:31,39.9,0.42,3.19,0.49,6.77,0.49,28.5,277.4,App,Large,A,Dineo,Tau,Tsepo,Curry,Rohan,Kone,no,,,,,,,,
23,05/03/2018,16:38:33,53.6,0.59,3.40,0.45,7.48,0.45,41.2,290.0,App,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Jeff,no,,,,,,,,
24,05/03/2018,17:13:53,41.7,0.73,3.29,0.52,6.75,0.52,29.9,245.5,Phone,Medium,D,Dineo,Tau,Tsepo,Chilli,Rohan,Mary,no,,,,,,,,
6340,22/04/2018,18:21:26,29.3,0.63,3.35,0.56,6.45,0.56,17.8,243.0,Phone,Medium,C,Maria,Alexia,Jim,Chilli,Rohan,Jeff,yes,Wrong Size,,,,,,,
26,05/03/2018,17:23:11,37.0,0.77,3.37,0.53,6.84,0.53,25.0,249.0,App,Medium,A,Dineo,Tau,Tsepo,Chilli,Rohan,Jeff,no,,,,,,,,
27,05/03/2018,17:24:06,42.3,0.77,3.21,0.45,7.49,0.45,29.9,285.4,Phone,Family,D,Dineo,Tau,Tsepo,Wasabi,Rohan,Mary,no,,,,,,,,
28,05/03/2018,17:26:54,51.0,1.03,3.56,0.45,7.28,0.45,38.2,290.6,Email,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Kone,no,,,,,,,,
29,05/03/2018,17:54:10,47.5,0.93,3.28,0.45,6.74,0.45,35.7,280.4,Email,Large,E,Dineo,Tau,Tsepo,Curry,Rohan,Jeff,no,,,,,,,,
30,05/03/2018,17:56:21,42.6,0.86,3.42,0.40,6.98,1.00,30.0,280.2,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Rohan,Mary,no,,,,,,,,
31,05/03/2018,17:59:48,40.8,0.59,3.44,0.52,6.99,0.52,28.8,281.6,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Rohan,Kone,no,,,,,,,,
32,05/03/2018,18:02:36,36.9,0.59,3.46,0.47,6.92,0.47,25.0,283.0,Phone,Large,B,Dineo,Tau,Lindi,Curry,Rohan,Jeff,no,,,,,,,,
33,05/03/2018,18:07:11,37.4,0.81,3.47,0.53,6.49,0.53,25.6,245.2,Phone,Medium,A,Dineo,Tau,Lindi,Chilli,Rohan,Mary,no,,,,,,,,
34,05/03/2018,18:18:01,43.8,0.77,3.43,0.38,6.87,0.38,32.0,277.7,App,Large,B,Dineo,Tau,Lindi,Curry,Rohan,Kone,no,,,,,,,,
35,05/03/2018,18:27:04,45.0,0.68,3.45,0.67,6.83,0.67,32.7,283.9,App,Large,E,Dineo,Tau,Lindi,Curry,Rohan,Jeff,no,,,,,,,,
36,05/03/2018,18:33:49,41.7,1.05,3.38,0.38,7.33,0.38,29.2,290.0,Email,Family,B,Dineo,Tau,Lindi,Wasabi,Rohan,Mary,no,,,,,,,,
37,05/03/2018,18:46:24,49.2,0.67,3.44,0.48,7.00,0.48,37.1,271.5,Phone,Large,E,Dineo,Tau,Lindi,Curry,Rohan,Kone,no,,,,,,,,
38,05/03/2018,18:48:32,37.8,0.83,3.21,0.49,6.91,0.49,25.8,281.1,Phone,Large,A,Dineo,Tau,Lindi,Curry,Rohan,Jeff,no,,,,,,,,
39,05/03/2018,19:04:02,37.9,0.83,3.18,0.53,6.51,0.53,26.3,242.7,App,Small,B,Dineo,Tau,Lindi,Chilli,Rohan,Mary,no,,,,,,,,
40,05/03/2018,19:15:43,42.4,0.88,3.39,0.46,7.34,0.46,29.8,287.7,App,Family,B,Dineo,Tau,Lindi,Wasabi,Rohan,Kone,no,,,,,,,,
41,05/03/2018,19:31:07,39.3,0.56,3.59,0.50,7.23,0.50,26.9,284.6,App,Family,A,Dineo,Tau,Lindi,Wasabi,Rohan,Jeff,no,,,,,,,,
42,05/03/2018,19:39:10,44.1,0.83,3.19,0.48,6.47,0.48,32.7,241.8,Email,Medium,E,Dineo,Tau,Lindi,Chilli,Rohan,Mary,no,,,,,,,,
43,05/03/2018,19:44:16,39.8,0.91,3.27,0.63,6.62,0.63,27.7,276.7,App,Large,B,Dineo,Tau,Lindi,Curry,Rohan,Kone,no,,,,,,,,
7746,03/05/2018,18:16:33,37.3,0.50,3.30,0.47,6.49,0.47,26.1,240.6,App,Medium,A,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,yes,Late delivery,,,,,,,
45,05/03/2018,19:48:33,37.0,0.65,3.22,0.48,6.38,0.48,25.8,240.6,Phone,Small,B,Dineo,Tau,Lindi,Chilli,Rohan,Mary,no,,,,,,,,
46,05/03/2018,19:55:01,42.3,0.86,3.37,0.58,6.63,0.58,30.3,242.2,Phone,Medium,E,Dineo,Tau,Lindi,Chilli,Rohan,Kone,no,,,,,,,,
47,05/03/2018,20:07:16,39.2,0.81,3.55,0.45,7.27,0.45,26.7,293.8,App,Family,C,Dineo,Tau,Lindi,Wasabi,Rohan,Jeff,no,,,,,,,,
48,05/03/2018,20:13:28,38.7,0.55,3.39,0.42,7.24,0.42,26.7,286.0,Phone,Family,A,Dineo,Tau,Lindi,Wasabi,Rohan,Mary,no,,,,,,,,
49,05/03/2018,20:14:22,42.2,0.62,3.31,0.43,6.72,0.43,30.7,246.7,Phone,Medium,B,Dineo,Tau,Lindi,Chilli,Rohan,Kone,no,,,,,,,,
50,05/03/2018,20:16:23,41.6,0.77,3.28,0.65,6.92,0.65,29.4,276.4,App,Large,D,Dineo,Tau,Lindi,Curry,Rohan,Jeff,no,,,,,,,,
51,05/03/2018,20:26:44,35.0,0.78,3.73,0.35,7.35,0.35,22.5,289.8,App,Family,C,Dineo,Tau,Lindi,Wasabi,Rohan,Mary,no,,,,,,,,
52,05/03/2018,20:28:47,44.6,0.50,3.19,0.42,6.99,0.42,33.1,285.0,App,Family,E,Dineo,Tau,Lindi,Wasabi,Rohan,Kone,no,,,,,,,,
53,05/03/2018,20:36:21,48.5,0.74,3.28,0.50,6.79,0.50,36.7,252.2,Email,Medium,E,Dineo,Tau,Lindi,Chilli,Rohan,Jeff,no,,,,,,,,
54,05/03/2018,21:17:39,45.5,0.80,3.42,0.54,6.92,0.54,33.3,275.1,App,Large,E,Dineo,Tau,Lindi,Curry,Rohan,Mary,no,,,,,,,,
55,05/03/2018,21:36:04,40.7,0.91,3.28,0.59,7.47,0.59,27.8,287.6,Phone,Family,A,Dineo,Tau,Lindi,Wasabi,Rohan,Kone,no,,,,,,,,
56,05/03/2018,21:36:23,37.8,0.59,3.36,0.50,7.16,0.50,25.7,291.1,Phone,Family,B,Dineo,Tau,Lindi,Wasabi,Rohan,Jeff,no,,,,,,,,
57,05/03/2018,21:40:32,38.6,0.81,3.55,0.54,7.28,0.54,25.8,289.0,Phone,Family,B,Dineo,Tau,Lindi,Wasabi,Rohan,Mary,no,,,,,,,,
58,05/03/2018,21:43:40,38.6,0.56,3.37,0.44,7.00,0.44,26.8,275.4,App,Large,A,Dineo,Tau,Lindi,Curry,Rohan,Kone,yes,Wrong topping,,,,,,,
59,05/03/2018,21:45:48,43.4,0.66,3.32,0.50,6.87,0.50,31.5,277.1,Phone,Large,E,Dineo,Tau,Lindi,Curry,Rohan,Jeff,no,,,,,,,,
60,05/03/2018,22:06:47,43.2,0.94,3.43,0.46,7.19,0.46,30.7,276.4,Email,Family,D,Dineo,Tau,Lindi,Wasabi,Rohan,Mary,no,,,,,,,,
61,05/03/2018,22:18:32,53.1,0.91,3.42,0.52,7.24,0.52,40.5,290.5,Phone,Family,C,Dineo,Tau,Lindi,Wasabi,Rohan,Kone,no,,,,,,,,
62,05/03/2018,22:19:14,38.9,0.74,3.31,0.54,6.13,0.54,27.6,240.7,Phone,Small,A,Dineo,Tau,Lindi,Chilli,Rohan,Jeff,no,,,,,,,,
63,05/03/2018,22:22:16,43.2,0.96,3.30,0.55,6.80,0.55,31.1,280.4,App,Large,D,Dineo,Tau,Lindi,Curry,Rohan,Mary,no,,,,,,,,
64,05/03/2018,22:22:32,52.7,0.78,3.45,0.57,7.37,0.57,39.9,285.8,Phone,Family,E,Dineo,Tau,Lindi,Wasabi,Rohan,Kone,no,,,,,,,,
65,05/03/2018,22:30:07,41.1,0.60,3.34,0.49,7.06,0.49,29.1,287.9,Phone,Family,E,Dineo,Tau,Lindi,Wasabi,Rohan,Jeff,no,,,,,,,,
66,05/03/2018,22:39:37,40.9,0.71,3.48,0.64,6.31,0.64,29.1,286.6,Phone,Family,A,Dineo,Tau,Lindi,Chilli,Rohan,Mary,no,,,,,,,,
67,05/03/2018,22:49:12,39.1,0.46,3.33,0.39,6.78,0.39,27.8,277.3,Phone,Large,A,Dineo,Tau,Lindi,Curry,Rohan,Kone,no,,,,,,,,
68,05/03/2018,23:02:31,40.3,0.80,3.43,0.48,7.13,0.48,28.0,282.4,Phone,Large,B,Dineo,Tau,Lindi,Curry,Rohan,Jeff,no,,,,,,,,
69,05/03/2018,23:19:40,38.7,0.65,3.28,0.53,6.91,0.53,26.8,281.1,Phone,Large,A,Dineo,Tau,Lindi,Curry,Rohan,Mary,no,,,,,,,,
70,05/03/2018,23:27:32,42.9,1.03,3.26,0.53,7.04,0.53,30.5,281.7,App,Large,B,Dineo,Tau,Lindi,Curry,Rohan,Kone,no,,,,,,,,
71,05/03/2018,23:34:26,48.1,0.79,3.52,0.60,7.15,0.60,35.5,290.9,App,Family,E,Dineo,Tau,Lindi,Wasabi,Rohan,Jeff,no,,,,,,,,
72,05/03/2018,23:42:30,33.6,0.80,3.32,0.35,6.39,0.35,22.4,240.8,App,Small,A,Dineo,Tau,Lindi,Chilli,Rohan,Mary,no,,,,,,,,
73,05/03/2018,23:43:02,38.2,0.79,3.26,0.46,7.03,0.46,26.2,278.7,App,Large,B,Dineo,Tau,Lindi,Curry,Rohan,Kone,no,,,,,,,,
74,06/03/2018,12:11:25,50.4,0.71,3.43,0.57,6.58,0.57,38.5,242.0,App,Medium,E,Dineo,Tau,Tsepo,Chilli,Rohan,Sei,no,,,,,,,,
75,06/03/2018,12:28:36,38.5,0.76,3.32,0.53,7.14,0.53,26.2,278.6,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Rohan,Lebo,yes,Wrong topping,,,,,,,
76,06/03/2018,12:36:30,42.0,0.88,3.27,0.56,7.12,0.56,29.6,275.5,Phone,Large,E,Dineo,Tau,Tsepo,Curry,Rohan,Rita,no,,,,,,,,
77,06/03/2018,12:58:20,46.0,0.88,3.17,0.53,7.12,0.53,33.8,274.2,App,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Sei,no,,,,,,,,
78,06/03/2018,13:27:02,41.7,0.81,3.32,0.68,6.24,0.68,29.9,245.4,App,Small,D,Dineo,Tau,Tsepo,Chilli,Rohan,Lebo,no,,,,,,,,
79,06/03/2018,13:33:19,43.6,0.93,3.12,0.60,6.45,0.60,31.9,249.3,Email,Small,A,Dineo,Tau,Tsepo,Chilli,Rohan,Rita,no,,,,,,,,
80,06/03/2018,14:01:03,44.9,0.45,3.67,0.40,7.50,0.40,32.5,285.4,Phone,Family,D,Dineo,Tau,Tsepo,Wasabi,Rohan,Sei,no,,,,,,,,
81,06/03/2018,14:08:59,39.2,0.62,3.31,0.36,6.69,0.36,27.9,273.6,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Rohan,Lebo,no,,,,,,,,
82,06/03/2018,14:31:58,51.5,0.70,3.12,0.47,6.66,0.47,40.1,245.8,Phone,Small,E,Dineo,Tau,Tsepo,Chilli,Rohan,Rita,no,,,,,,,,
83,06/03/2018,14:33:55,36.6,0.74,3.70,0.50,6.94,0.50,24.2,275.5,Phone,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Sei,no,,,,,,,,
84,06/03/2018,14:44:31,34.7,0.83,3.19,0.50,6.56,0.50,23.2,242.3,Phone,Medium,B,Dineo,Tau,Tsepo,Chilli,Rohan,Lebo,no,,,,,,,,
85,06/03/2018,14:46:20,44.5,0.74,3.51,0.44,6.90,0.44,32.5,280.0,Phone,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Rita,no,,,,,,,,
86,06/03/2018,14:52:20,46.7,0.91,3.51,0.51,6.82,0.51,34.4,280.6,Phone,Large,E,Dineo,Tau,Tsepo,Curry,Rohan,Sei,no,,,,,,,,
87,06/03/2018,14:58:54,46.6,0.91,3.46,0.50,7.13,0.50,34.1,285.1,Phone,Family,C,Dineo,Tau,Tsepo,Wasabi,Rohan,Lebo,yes,Wrong Size,,,,,,,
88,06/03/2018,15:06:27,42.0,0.77,3.35,0.53,7.15,0.53,29.7,290.6,App,Family,A,Dineo,Tau,Tsepo,Wasabi,Rohan,Rita,no,,,,,,,,
89,06/03/2018,15:06:39,34.7,0.70,3.15,0.59,6.85,0.59,22.9,279.7,Phone,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Sei,no,,,,,,,,
90,06/03/2018,15:06:54,37.3,0.93,3.24,0.63,6.58,0.63,25.3,277.5,Email,Large,A,Dineo,Tau,Tsepo,Curry,Rohan,Lebo,no,,,,,,,,
91,06/03/2018,15:15:20,37.9,0.90,3.32,0.49,6.26,0.49,26.5,291.5,Phone,Family,C,Dineo,Tau,Tsepo,Chilli,Rohan,Rita,yes,Too Doughy,,,,,,,
92,06/03/2018,15:15:41,55.1,0.73,3.41,0.54,7.56,0.54,42.3,285.7,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Sei,no,,,,,,,,
93,06/03/2018,15:19:26,48.6,0.74,3.65,0.37,7.09,0.37,36.4,287.4,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Lebo,no,,,,,,,,
94,06/03/2018,15:24:14,42.5,0.63,3.11,0.47,6.45,0.47,31.3,247.2,Phone,Small,D,Dineo,Tau,Tsepo,Chilli,Rohan,Rita,no,,,,,,,,
95,06/03/2018,15:29:45,47.4,0.85,3.48,0.62,7.28,0.62,34.5,288.1,App,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Sei,no,,,,,,,,
96,06/03/2018,15:42:48,45.6,0.63,3.23,0.39,7.52,0.39,33.4,290.3,App,Family,D,Dineo,Tau,Tsepo,Wasabi,Rohan,Lebo,no,,,,,,,,
97,06/03/2018,15:48:36,37.6,0.62,3.40,0.54,6.68,0.54,25.8,247.1,App,Medium,A,Dineo,Tau,Tsepo,Chilli,Rohan,Rita,no,,,,,,,,
98,06/03/2018,15:56:41,38.5,0.53,3.32,0.46,6.82,0.46,26.9,275.5,Phone,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Sei,no,,,,,,,,
99,06/03/2018,15:57:30,44.6,0.76,3.27,0.40,7.51,0.40,32.3,294.2,Phone,Family,A,Dineo,Tau,Tsepo,Wasabi,Rohan,Lebo,no,,,,,,,,
100,06/03/2018,16:05:36,36.5,0.78,3.31,0.45,7.21,0.45,24.3,291.0,Phone,Family,A,Dineo,Tau,Tsepo,Wasabi,Rohan,Rita,no,,,,,,,,
101,06/03/2018,16:07:59,39.1,0.65,3.19,0.47,6.82,0.47,27.5,280.1,Phone,Large,E,Dineo,Tau,Tsepo,Curry,Rohan,Sei,no,,,,,,,,
102,06/03/2018,16:15:40,41.0,0.93,3.38,0.53,6.87,0.53,28.8,275.8,Email,Large,A,Dineo,Tau,Tsepo,Curry,Rohan,Lebo,no,,,,,,,,
103,06/03/2018,16:17:49,40.5,1.03,3.52,0.53,7.40,0.53,27.5,280.8,Email,Family,B,Dineo,Tau,Tsepo,Wasabi,Rohan,Rita,no,,,,,,,,
104,06/03/2018,16:18:03,51.7,0.80,3.34,0.57,7.45,0.57,38.9,288.9,App,Family,C,Dineo,Tau,Tsepo,Wasabi,Rohan,Sei,no,,,,,,,,
105,06/03/2018,16:20:55,36.4,0.75,3.12,0.55,7.24,0.55,24.2,277.9,Phone,Large,C,Dineo,Tau,Tsepo,Curry,Rohan,Lebo,no,,,,,,,,
6510,24/04/2018,17:39:36,37.3,0.77,3.12,0.49,6.25,0.49,26.2,248.4,Email,Small,B,Kim,Alexia,Sally,Chilli,Pat,Kone,yes,Late delivery,,,,,,,
107,06/03/2018,16:43:30,48.2,0.79,3.24,0.56,7.05,0.56,36.0,283.9,Phone,Large,E,Dineo,Tau,Tsepo,Curry,Rohan,Sei,no,,,,,,,,
108,06/03/2018,16:57:19,43.3,0.72,3.32,0.51,7.31,0.51,30.9,286.1,App,Family,D,Dineo,Tau,Tsepo,Wasabi,Rohan,Lebo,no,,,,,,,,
109,06/03/2018,16:58:55,42.1,0.86,3.46,0.48,6.39,0.48,30.4,244.8,Phone,Medium,D,Dineo,Tau,Tsepo,Chilli,Rohan,Rita,no,,,,,,,,
110,06/03/2018,17:04:41,33.8,0.69,3.52,0.54,6.87,0.54,21.6,280.1,Phone,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Sei,no,,,,,,,,
111,06/03/2018,17:05:32,46.6,0.74,3.27,0.56,7.05,0.56,34.4,296.6,Phone,Family,B,Dineo,Tau,Tsepo,Wasabi,Rohan,Lebo,no,,,,,,,,
112,06/03/2018,17:09:02,47.3,0.68,3.55,0.36,6.78,0.36,35.5,282.2,App,Large,E,Dineo,Tau,Tsepo,Curry,Rohan,Rita,no,,,,,,,,
113,06/03/2018,17:19:53,46.7,0.94,3.34,0.50,7.38,0.50,34.1,294.2,App,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Sei,no,,,,,,,,
114,06/03/2018,17:48:13,42.2,0.72,3.35,0.45,7.26,0.45,30.0,286.6,Phone,Family,A,Dineo,Tau,Tsepo,Wasabi,Rohan,Lebo,no,,,,,,,,
115,06/03/2018,17:50:20,35.5,0.75,3.55,0.42,7.37,0.42,23.0,289.9,App,Family,A,Dineo,Tau,Tsepo,Wasabi,Rohan,Rita,no,,,,,,,,
116,06/03/2018,18:06:17,40.3,0.61,3.50,0.49,6.97,0.49,28.2,279.8,Phone,Large,B,Dineo,Tau,Jim,Curry,Rohan,Sei,no,,,,,,,,
117,06/03/2018,18:22:13,44.0,0.74,3.27,0.47,6.52,0.47,32.5,245.8,App,Medium,D,Dineo,Tau,Jim,Chilli,Rohan,Lebo,no,,,,,,,,
118,06/03/2018,18:26:20,58.9,0.71,3.33,0.43,7.34,0.43,46.7,278.7,App,Large,C,Dineo,Tau,Jim,Curry,Rohan,Rita,no,,,,,,,,
119,06/03/2018,18:36:24,49.5,0.39,3.31,0.52,6.76,0.52,38.0,277.6,Phone,Large,E,Dineo,Tau,Jim,Curry,Rohan,Sei,no,,,,,,,,
120,06/03/2018,18:37:07,52.1,0.61,3.48,0.58,7.27,0.58,39.6,290.4,Phone,Family,E,Dineo,Tau,Jim,Wasabi,Rohan,Lebo,no,,,,,,,,
121,06/03/2018,18:48:24,49.0,0.57,3.32,0.53,7.32,0.53,36.8,289.4,Phone,Family,E,Dineo,Tau,Jim,Wasabi,Rohan,Rita,no,,,,,,,,
7879,04/05/2018,17:03:27,37.4,0.47,3.22,0.42,6.60,0.42,26.3,246.9,Phone,Medium,A,Dineo,Tau,Tsepo,Chilli,Bongani,Lebo,yes,Late delivery,,,,,,,
123,06/03/2018,19:00:39,40.5,0.67,3.35,0.59,7.38,0.59,27.9,285.8,App,Family,B,Dineo,Tau,Jim,Wasabi,Rohan,Lebo,No,,,,,,,,
124,06/03/2018,19:05:47,46.2,0.91,3.60,0.49,7.49,0.49,33.2,291.5,App,Family,B,Dineo,Tau,Jim,Wasabi,Rohan,Rita,No,,,,,,,,
125,06/03/2018,19:27:45,38.7,0.85,3.26,0.50,6.91,0.50,26.7,278.6,Phone,Large,A,Dineo,Tau,Jim,Chilli,Rohan,Sei,yes,Too Doughy,,,,,,,
126,06/03/2018,19:34:13,55.2,1.04,3.43,0.57,6.33,0.57,43.3,248.8,Phone,Small,E,Dineo,Tau,Jim,Chilli,Rohan,Lebo,No,,,,,,,,
127,06/03/2018,19:40:26,41.9,0.77,3.29,0.40,7.12,0.40,29.9,280.7,Phone,Large,D,Dineo,Tau,Jim,Chilli,Rohan,Rita,yes,Too Doughy,,,,,,,
128,06/03/2018,19:45:51,56.4,0.88,3.35,0.52,6.61,0.52,44.5,243.8,App,Medium,C,Dineo,Tau,Jim,Chilli,Rohan,Sei,No,,,,,,,,
129,06/03/2018,20:06:43,42.5,0.54,3.18,0.58,7.43,0.58,30.2,290.8,Phone,Family,A,Dineo,Tau,Jim,Wasabi,Rohan,Lebo,No,,,,,,,,
4012,04/04/2018,17:46:45,37.5,0.68,3.12,0.46,6.37,0.46,26.4,246.5,Phone,Medium,A,Kim,Alexia,Sally,Chilli,Bongani,Jeff,yes,Late delivery,,,,,,,
131,06/03/2018,20:10:10,47.2,0.95,3.69,0.57,7.29,0.57,34.1,292.6,Phone,Family,E,Dineo,Tau,Jim,Wasabi,Rohan,Sei,No,,,,,,,,
132,06/03/2018,20:12:37,40.5,0.85,3.20,0.51,6.61,0.51,28.9,244.9,Phone,Small,B,Dineo,Tau,Jim,Chilli,Rohan,Lebo,No,,,,,,,,
133,06/03/2018,20:13:16,47.7,0.79,3.51,0.55,7.34,0.55,35.0,288.3,App,Family,E,Dineo,Tau,Jim,Wasabi,Rohan,Rita,No,,,,,,,,
134,06/03/2018,20:15:32,41.2,0.84,3.21,0.50,6.16,0.50,30.0,244.1,App,Small,E,Dineo,Tau,Jim,Chilli,Rohan,Sei,No,,,,,,,,
135,06/03/2018,20:20:08,42.1,0.61,3.18,0.51,7.04,0.51,30.2,277.9,Phone,Large,A,Dineo,Tau,Jim,Curry,Rohan,Lebo,No,,,,,,,,
136,06/03/2018,20:29:36,37.3,0.73,3.36,0.44,6.38,0.44,25.9,238.1,App,Small,A,Dineo,Tau,Jim,Chilli,Rohan,Rita,No,,,,,,,,
137,06/03/2018,20:33:57,44.0,0.87,3.40,0.52,6.93,0.52,31.8,285.7,Phone,Large,B,Dineo,Tau,Jim,Curry,Rohan,Sei,No,,,,,,,,
138,06/03/2018,20:42:13,41.4,0.90,3.32,0.57,6.49,0.57,29.6,245.5,Phone,Medium,B,Dineo,Tau,Jim,Chilli,Rohan,Lebo,No,,,,,,,,
139,06/03/2018,20:49:56,53.2,0.97,3.36,0.55,6.28,0.55,41.5,244.0,App,Small,E,Dineo,Tau,Jim,Chilli,Rohan,Rita,No,,,,,,,,
140,06/03/2018,20:52:39,44.3,0.87,3.24,0.41,6.98,0.41,32.4,278.3,Phone,Large,E,Dineo,Tau,Jim,Curry,Rohan,Sei,No,,,,,,,,
141,06/03/2018,20:54:56,39.7,0.83,3.34,0.59,7.27,0.59,27.1,281.8,App,Family,A,Dineo,Tau,Jim,Wasabi,Rohan,Lebo,No,,,,,,,,
142,06/03/2018,20:57:22,39.7,0.61,3.69,0.52,6.94,0.52,27.4,294.1,Phone,Family,A,Dineo,Tau,Jim,Wasabi,Rohan,Rita,No,,,,,,,,
143,06/03/2018,21:01:35,44.0,0.93,3.56,0.50,7.40,0.50,31.1,288.7,App,Family,B,Dineo,Tau,Jim,Wasabi,Rohan,Sei,No,,,,,,,,
144,06/03/2018,21:02:35,43.9,0.80,3.45,0.26,6.88,0.26,32.3,280.8,App,Large,D,Dineo,Tau,Jim,Curry,Rohan,Lebo,No,,,,,,,,
